127.0.0.1 - - [29/Jul/2017:10:15:34 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:15:36 +0800] "GET /ssm-crud/ HTTP/1.1" 200 17260
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:15:36 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:15:36 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:15:37 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:15:37 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:04 +0800] "GET /ssm-crud/ HTTP/1.1" 200 17260
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:04 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:04 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:05 +0800] "GET /ssm-crud/emps?pn=1 HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:05 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:05 +0800] "GET /ssm-crud/static/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:12 +0800] "GET /ssm-crud/depts HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:14 +0800] "GET /ssm-crud/emp/1 HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:19 +0800] "GET /ssm-crud/emps?pn=224 HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:20 +0800] "GET /ssm-crud/emp/1107 HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:29 +0800] "PUT /ssm-crud/emp/1107 HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:29 +0800] "GET /ssm-crud/emps?pn=224 HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:32 +0800] "GET /ssm-crud/emp/1107 HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [29/Jul/2017:10:17:38 +0800] "PUT /ssm-crud/emp/1107 HTTP/1.1" 200 63
